City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangai,-19.8,-174.35,296.55,77,82,8.63,TO,1694929092
1,bilibino,68.0546,166.4372,278.79,62,99,0.99,RU,1694929093
2,yellowknife,62.456,-114.3525,283.87,95,20,2.06,CA,1694929093
3,thunder bay,48.4001,-89.3168,282.1,93,40,2.06,CA,1694929093
4,rancharia,-22.2292,-50.8931,294.67,45,0,2.78,BR,1694929094
5,waitangi,-43.9535,-176.5597,286.38,87,100,3.13,NZ,1694929094
6,kurumkan,54.3,110.3,291.89,51,71,0.87,RU,1694929094
7,avarua,-21.2078,-159.775,296.18,88,75,3.09,CK,1694929095
8,anadyr,64.75,177.4833,278.71,75,20,2.0,RU,1694929095
9,port-aux-francais,-49.35,70.2167,279.18,95,100,17.48,TF,1694929095
10,bethel,41.3712,-73.414,284.71,82,0,0.45,US,1694929096
11,belmonte,-15.8631,-38.8828,295.94,81,7,2.88,BR,1694929096
12,motygino,58.1831,94.7592,292.87,46,27,1.36,RU,1694929096
13,coquimbo,-29.9533,-71.3436,285.0,93,0,2.57,CL,1694929096
14,puerto natales,-51.7236,-72.4875,271.93,92,40,0.88,CL,1694929097
15,punta arenas,-53.15,-70.9167,275.21,55,75,3.09,CL,1694929097
16,jayapura,-2.5333,140.7,303.81,79,75,1.98,ID,1694929097
17,grass valley,39.2191,-121.0611,290.12,75,27,2.81,US,1694929098
18,albany,42.6001,-73.9662,285.12,88,8,2.62,US,1694929098
19,chaman,30.9236,66.4512,303.93,11,0,2.45,PK,1694929098
20,st. john's,47.5649,-52.7093,292.3,98,100,8.23,CA,1694929099
21,ust-nera,64.5667,143.2,280.17,54,100,2.74,RU,1694929099
22,port lincoln,-34.7333,135.8667,293.42,56,24,3.22,AU,1694929100
23,tiksi,71.6872,128.8694,275.44,68,97,5.47,RU,1694929100
24,ushuaia,-54.8,-68.3,272.96,93,100,1.03,AR,1694929042
25,utrik,11.2278,169.8474,301.92,80,92,7.29,MH,1694929101
26,gizo,-8.103,156.8419,299.42,79,86,6.78,SB,1694929102
27,pantai remis,4.4557,100.6288,302.05,65,19,2.88,MY,1694929102
28,ilulissat,69.2167,-51.1,273.16,80,20,2.06,GL,1694929102
29,longyearbyen,78.2186,15.6401,271.06,74,75,4.12,SJ,1694929103
30,grytviken,-54.2811,-36.5092,272.41,93,82,6.91,GS,1694929103
31,adamstown,-25.066,-130.1015,291.84,71,100,6.29,PN,1694929103
32,cumberland,35.0502,-78.8664,292.29,70,0,3.09,US,1694929105
33,aswan,24.0934,32.907,299.76,29,0,2.06,EG,1694929105
34,hermanus,-34.4187,19.2345,283.04,66,92,3.46,ZA,1694929105
35,mizdah,31.4451,12.9801,295.15,46,13,2.28,LY,1694929106
36,chonchi,-42.6128,-73.8092,276.55,95,79,1.45,CL,1694929107
37,atafu village,-8.5421,-172.5159,301.9,76,6,7.47,TK,1694929107
